model,rank_test_rmse,mean_test_rmse,std_test_rmse,mean_test_mae,std_test_mae,mean_test_r2,std_test_r2,params
ridge,1,3113.8410006786935,42.704255670163136,1647.653951987269,17.65103441058031,0.9965852428622533,8.054326310391022e-05,{'model__alpha': 0.1}
ridge,2,2976.2155062945662,75.8211353529905,1686.1795933103617,17.352571171534887,0.9968792334973419,0.00014802123283020295,{'model__alpha': 10.0}
ridge,3,2964.8304458998145,55.982252641536334,1620.7714776918967,13.535520579741913,0.996903842147771,0.00010529934302989615,{'model__alpha': 1.0}
ridge,4,2931.240361607738,65.88185399088458,1640.6397237121405,15.319762402459947,0.9969732197793219,0.00012512724620241896,{'model__alpha': 3.0}
